"univID","stl","mds","mdf","maf","lps","ect","tpg","mav","mcv","mpt","cle","pmx","ds1","ds2","lpt","ds3","lps.sc","ect.sc","tpg.sc","cle.sc","pmx.sc","ds1.sc","ds2.sc","lpt.sc","ds3.sc"
"Fos.K.14.023",48.54,2,9,7,NA,5.89,NA,14,19,5,5.81,2.06,0,2.37,1.62,1.38,NA,6.32266401273844,NA,6.27851697095937,2.23958513536984,0,2.49579066725528,1.75025113258753,1.44826724421003
"Fos.K.14.025",39.11,1,9,8,0,6.26,1.9,NA,19,7,NA,NA,0,0,0.91,1.36,0,8.34781654646138,3.22651047264179,NA,NA,0,0,1.22124438114268,1.66695038216627
"Fos.K.14.028",73.45,1,10,8,5.19,8.53,11.15,14,19,5,9.25,3.19,0,0,2.59,1.87,4.0519243397864,6.04047835064284,5.88861162640812,6.34109187525299,2.12353885616288,0,0,1.84627047385401,1.45726705417747
"Fos.K.14.030",44.1,1,10,9,NA,NA,NA,14,20,5,NA,1.77,0,0,1.31,1.7,NA,NA,NA,NA,2.15580471282662,0,0,1.55840174634683,1.91142233244512
"Fos.K.14.031",49.3,1,9,8,3.87,5.81,7.35,14,19,5,6.38,1.57,0,0,2.14,1.71,4.06184551652749,6.14023363293841,8.12654292330067,6.77778995653489,1.67575273068911,0,0,2.27628065776626,1.77466820913806
"Fos.K.14.037",40.99,1,8,7,3.42,7.1,7.74,14,20,5,NA,NA,0,0,1.81,1.82,4.11665774463321,9.03190744316726,12.0484871001794,NA,NA,0,0,2.31723761536142,2.15676404901628
"Fos.K.14.038",52.78,1,10,9,0,NA,2.55,NA,20,5,6.17,2.04,0,0,2.47,1.69,0,NA,2.4846252254287,6.08141349785415,2.00845027192456,0,0,2.45341842171212,1.67001658513475
"Fos.K.14.039",57.08,1,11,9,0,8.64,1.35,14,20,5,8.62,3.71,0,0,1.97,1.45,0,7.88157300593482,1.13767186910234,7.79565641367487,3.32908016709432,0,0,1.80881595711324,1.35443725153776
"Fos.K.14.042",58.59,1,8,7,0,7.69,1.9,13,19,6,7.25,2.02,0,0,3.15,1.91,0,6.83340874464647,1.52553396409967,6.37124015395346,1.75741070801564,0,0,2.81744334007598,1.75095732211128
"Fos.K.14.043",44,1,8,8,0,7.23,2.22,14,19,5,7.73,NA,0,0,2.56,1.53,0,8.56550277418279,3.03047889370163,9.30506618011723,NA,0,0,3.05237461430061,1.72308876816428
"Fos.K.14.044",60.68,1,10,8,0,8.06,3.92,14,19,5,8.21,NA,0,0,1.6,1.08,0,6.91446894853005,2.94947055409334,6.94230485415675,NA,0,0,1.38160374705885,0.965444305185206
"Fos.K.14.051",41.58,1,10,8,0,5.96,3.61,14,19,5,NA,2.18,0,0,1.51,2.04,0,7.47367554579322,5.47263456755111,NA,2.84678190393036,0,0,1.90562877247922,2.39277200384077
"Fos.K.14.054",52.72,1,9,8,0,9.54,5.76,14,19,5,10.54,NA,0,0,1.77,1.54,0,9.42548916364823,5.62417296779421,10.4016623510314,NA,0,0,1.76012631253692,1.5230346437012
"Fos.K.14.055",44.14,1,NA,9,4.24,6.09,7.53,14,20,5,6.62,2.39,0,0,1.36,1.39,4.83078366451105,7.19194394865717,10.2187182997365,7.94112535164455,2.90782174256451,0,0,1.61641090727377,1.56185096400165
"Fos.K.14.058",51.81,1,9,8,0,5.09,6.94,14,20,5,5.72,NA,0,0,2.43,1.42,0,5.11761372823789,6.99857410693371,5.75395952940514,NA,0,0,2.45905352888729,1.42203862276993
"Fos.K.14.061",52.01,3,11,9,4.32,6.74,6.65,15,19,5,6.78,1.94,2.46,3.89,1.52,1.67,4.35758750441505,6.75039503851134,6.65841364390891,6.79144129359278,1.94352859916806,2.39683462913258,3.87753700296933,1.53223558832519,1.66777361028669
"Fos.K.14.063",43.29,1,9,8,0,7.31,1.01,14,19,5,7.62,2.24,0,0,1.66,1.57,0,8.80293084916043,1.4209311333808,9.33808452957581,2.78880589493628,0,0,2.01186321682893,1.78892821112961
"Fos.K.14.066",63.63,0,8,7,0,8.19,NA,14,19,5,8.56,2.8,0,0,2.26,0,0,6.69889297530093,NA,6.87039668702814,2.20922287621674,0,0,1.86069693040481,0
