"univID","stl","ips","mds","mdf","maf","lps","ips.prop","ect","tpg","mav","mcv","mpt","cle","pmx","ds1","ds2","lpt","ds3"
"Fos.K.06.166",57.55,0,1,10,9,0,0,8.48,0,NA,19,5,NA,2.51,0,0,2.27,1.43
"Fos.K.05.002",46.77,1,1,9,8,0,0.333333333333333,5,0.92,NA,19,5,NA,1.97,0,0,1.48,1.03
"Fos.K.05.003",47.82,1,3,11,10,0,0.333333333333333,6.56,1.9,14,19,5,NA,NA,1.79,4.41,2.16,1.59
"Fos.K.05.004",43.99,1,1,9,8,0,0.333333333333333,6.86,1.65,14,19,5,6.55,NA,0,0,1.58,1.58
"Fos.K.05.016",38.12,1,1,10,9,0,0.333333333333333,5.38,1.57,14,19,6,5.06,1.51,0,0,1.67,1.16
"Fos.K.05.033",53.5,0,2,10,9,0,0,7.8,0,14,21,6,NA,NA,0,3.67,1.38,1.4
"Fos.K.05.060",49.6,1,2,9,8,0,0.333333333333333,6,1.09,NA,19,5,6.82,NA,0,1.22,1.63,1.05
"Fos.K.05.063",63.99,1,1,10,9,0,0.333333333333333,9.13,2.93,14,19,5,9.22,3.27,0,0,2.61,1.32
"Fos.K.05.064",47.95,1,0,10,8,0,0.333333333333333,5.82,1.6,14,19,4,6.46,2.19,NA,NA,NA,NA
"Fos.K.05.068",62.86,1,0,10,9,0,0.333333333333333,7.46,3.02,14,19,6,8.14,NA,NA,NA,1.66,NA
"Fos.K.05.069",59.48,2,1,10,9,0,0.666666666666667,8.54,6.59,NA,19,5,8.7,3.26,0,0,1.84,1.99
"Fos.K.05.071",57.21,1,1,10,9,0,0.333333333333333,7.08,1.79,NA,19,4,7.42,NA,0,0,NA,1.35
"Fos.K.05.086",68.18,1,1,8,9,0,0.333333333333333,8.61,2.71,14,20,5,10.08,3.53,0,0,2.16,1.46
"Fos.K.05.090",71.52,2.4,1,10,9,0,0.8,9.32,8.63,13,19,5,9.9,3.76,0,0,1.94,1.82
"Fos.K.05.100",58.13,1,1,11,10,0,0.333333333333333,8.29,2.42,14,19,5,8.67,NA,0,0,1.96,1.48
"Fos.K.05.101",55.3,NA,1,11,9,NA,NA,NA,NA,14,19,5,8.19,NA,0,0,2.05,1.63
"Fos.K.05.102",43.08,1,1,10,9,0,0.333333333333333,NA,NA,14,19,5,7.12,2.34,0,0,1.69,1.4
"Fos.K.05.103",42.56,3,1,11,9,4.55,1,6.8,7.25,14,18,6,6.82,1.62,0,0,1.64,1.36
"Fos.K.05.104",49.49,1,1,9,8,0,0.333333333333333,5.94,1.65,14,20,5,5.78,NA,0,0,1.63,1.34
"Fos.K.05.106",58.45,2.4,1,11,NA,0,0.8,7.59,8.29,NA,20,5,NA,5.34,0,0,1.75,1.58
"Fos.K.05.111",44.93,1,1,10,9,0,0.333333333333333,5.84,1.22,NA,20,6,5.93,1.78,0,0,2.03,0.97
"Fos.K.05.113",48.89,1,1,10,9,0,0.333333333333333,7.15,2.4,14,19,5,7.35,2.23,0,0,2.32,1.17
"Fos.K.05.116",51.88,2,1,10,7,0,0.666666666666667,7.19,2.2,NA,19,NA,7.83,2.64,0,0,1.76,1.68
"Fos.K.05.118",46.73,1,1,9,8,0,0.333333333333333,5.76,1.22,NA,19,5,5.83,NA,0,0,1.95,1.13
"Fos.K.05.124",74.44,2,1,9,8,0,0.666666666666667,10.49,7.1,14,19,5,11.4,4.17,0,0,1.97,1
"Fos.K.05.127",59.43,1.4,1,9,8,0,0.466666666666667,NA,5.29,14,19,5,9.61,NA,0,0,2.4,1.88
"Fos.K.05.128",59.54,2,1,9,NA,0,0.666666666666667,8.78,2.02,14,19,NA,9.64,3.08,0,0,1.59,1.06
