"","index","prop","time","stl"
"214",214,0.42,5,52.24
"215",215,0.44,5,68.84
"216",216,0.03,5,51.72
"217",217,0.06,5,71.12
"218",218,0.54,5,57.31
"219",219,0.76,5,57.7
"220",220,0.99,5,53.64
"221",221,0.92,5,69.54
"222",222,0.6,5,51.55
"223",223,0.73,6,59.78
"224",224,0.2,6,45.54
"225",225,0.54,6,69.62
"226",226,0.73,6,52.21
"227",227,0.41,6,68.74
"228",228,0.59,6,64.63
"229",229,0.44,6,67.68
"230",230,0.71,6,57.58
"231",231,0.06,6,64.04
"232",232,0.8,6,59.81
"233",233,0.36,6,66.93
"234",234,0.75,6,68.15
"235",235,0.31,6,47.52
"236",236,0.5,6,67.38
"237",237,0.91,6,44.18
"238",238,0.87,6,58.98
"239",239,0.38,6,63.63
"240",240,0.34,6,55.25
"241",241,0.84,6,64.23
"242",242,0.16,6,41.07
"243",243,0.41,6,63.62
"244",244,0.73,6,61.21
"245",245,0.52,6,65.11
"246",246,0.04,6,52.23
"247",247,0.42,6,59.43
"248",248,0.69,6,58.36
"249",249,0.82,6,69.14
"250",250,0.5,6,62.97
"251",251,0.91,6,59.32
"252",252,0.64,6,70.43
"253",253,0.71,6,44.1
"254",254,0.35,6,52.89
"255",255,0.08,6,58.19
"256",256,0.06,6,52.24
"257",257,0.29,6,64.21
"258",258,0.16,6,54.18
"259",259,0.2,6,61.65
"260",260,0.21,6,66.79
"261",261,0.35,6,57.79
"262",262,0,6,56.09
"263",263,0.02,6,56.3
"264",264,0.99,6,62.7
"265",265,0.61,6,73
"266",266,0.01,6,54.29
"267",267,0.49,6,62.17
"268",268,0.33,6,63.93
"269",269,0.31,6,63.58
"270",270,0.33,6,61.55
"271",271,0.49,7,57.21
"272",272,0.31,7,41.06
"273",273,0.27,7,59.07
"274",274,0.04,7,52.4
"275",275,0.76,7,72.42
"276",276,0.4,7,65.23
"277",277,0.28,7,53.01
"278",278,0.89,7,52.54
"279",279,0.86,7,58.11
"280",280,0.01,7,46.65
"281",281,0.77,7,51.56
"282",282,0.11,7,43.07
"283",283,0.98,7,52.39
"284",284,0.2,7,41.06
"285",285,0.95,7,48.54
"286",286,0.48,7,39.11
"287",287,0.55,7,73.45
"288",288,0.45,7,44.1
"289",289,0.91,7,49.3
"290",290,0.43,7,40.99
"291",291,0.86,7,52.78
"292",292,0,7,57.08
"293",293,0.96,7,58.59
"294",294,0.54,7,44
"295",295,0.26,7,60.68
"296",296,0.31,7,41.58
"297",297,0.14,7,52.72
"298",298,0.02,7,44.14
"299",299,0.87,7,51.81
"300",300,0.91,7,52.01
"301",301,0.14,7,43.29
"302",302,0.86,7,63.63
"303",303,0.36,7,45.05
"304",304,0.4,7,50.94
"305",305,0.6,7,59.79
"306",306,0.85,7,63.91
"307",307,0.52,7,63.02
"308",308,0.14,7,36.13
"309",309,0.3,7,43.93
"310",310,0.21,7,66.64
"311",311,0.54,7,63.75
"312",312,0.43,7,69.75
"313",313,0.84,7,35.53
"314",314,0.82,7,37.56
"315",315,0.66,7,54.14
"316",316,0.04,7,54.53
"317",317,0.47,7,64.5
"318",318,0.7,7,48.08
"319",319,0.7,7,43.33
"320",320,0.81,7,59.2
"321",321,0.1,7,51.09
"322",322,0.98,7,41.62
"323",323,0.55,7,58.25
"324",324,0.29,7,67.7
"325",325,0.39,7,42.66
"326",326,0.6,7,48.29
"327",327,0.78,7,41.91
"328",328,0.89,7,52.52
"329",329,0.01,7,60.98
"330",330,0.53,7,58.08
"331",331,0.82,7,55.26
"332",332,0.22,7,46.35
"333",333,0.31,7,47.07
"334",334,0.61,7,56.49
"335",335,0.92,7,61.08
"336",336,0.09,7,53.59
"337",337,1,7,60.7
"338",338,0.19,8,61.76
"339",339,0.66,8,60.58
"340",340,0.36,8,57.11
"341",341,0.3,8,69.56
"342",342,0.4,8,53.38
"343",343,0.19,8,66.99
"344",344,0.2,8,60.32
"345",345,0.27,8,61.53
"346",346,0.74,8,64.69
"347",347,0.44,8,73.5
"348",348,0.29,8,61.01
"349",349,0.34,8,49.96
"350",350,0.99,8,57.03
"351",351,0.23,8,56.65
"352",352,0.25,8,51.02
"353",353,0.86,8,58.21
"354",354,0.71,8,67.38
"355",355,0.12,8,63.47
"356",356,0.69,8,68.48
"357",357,0.63,8,63.62
"358",358,0.64,8,58.15
"359",359,0.09,8,60.71
"360",360,0.05,8,59.79
"361",361,0.16,8,57.86
"362",362,0.6,8,75.62
"363",363,0.15,8,53.63
"364",364,0.7,8,71.7
"365",365,0.8,8,45.15
"366",366,0.05,8,61.93
"367",367,0.31,8,49.79
"368",368,0.31,8,63.4
"369",369,0.65,8,63.88
"370",370,0.27,8,72.8
"371",371,0.81,8,61.33
"372",372,0.11,8,67.78
"373",373,0.79,8,65.06
"374",374,0.33,8,65.32
"375",375,0.6,8,39.07
"376",376,0.82,8,56.49
"377",377,0.63,8,63.6
"378",378,0.17,8,52.34
"379",379,0.96,8,35.59
"380",380,0.53,8,69.2
"381",381,0.2,8,69.04
"382",382,0.28,8,58.64
"383",383,0.19,8,66.32
"384",384,0.48,8,73.47
"385",385,0.22,8,79.12
"386",386,0.14,8,70.6
"387",387,0.85,8,66.74
"388",388,0.9,8,70.41
"389",389,0.23,8,62.88
"390",390,0.33,8,54.06
"391",391,0.14,8,67.96
"392",392,0.47,8,49.63
"393",393,0.72,9,56.84
"394",394,0.32,9,52.98
"395",395,0.65,9,48.92
"396",396,0.68,9,54.91
"397",397,0.59,9,52.57
"398",398,0.05,9,72.6
"399",399,0.43,9,70.07
"400",400,0.06,9,67.27
"401",401,0.52,9,62.27
"402",402,0.15,9,58.07
"403",403,0.17,9,47.1
"404",404,0.28,9,55.28
"405",405,0.5,9,47.19
"406",406,0.94,9,47.09
"407",407,0.05,9,65.33
"408",408,0.19,9,43.8
"409",409,0.67,9,58.12
"410",410,0.52,9,49.14
"411",411,0.21,9,69.51
"412",412,0.06,9,56.48
"413",413,0.35,9,52.7
"414",414,0.11,9,51.73
"415",415,0.32,9,43.65
"416",416,0.41,9,56.77
"417",417,0.15,9,70.21
"418",418,0.03,9,48.9
"419",419,0.59,9,50.97
"420",420,0.61,9,54.36
"421",421,0.24,9,50.95
"422",422,0.1,9,47.83
"423",423,0.13,9,77.05
"424",424,0.86,9,58.31
"425",425,0.31,9,70.55
"426",426,0.07,9,72.65
"427",427,0.13,9,48.41
"428",428,0.24,9,44.52
"429",429,0.05,9,52.77
"430",430,0.67,9,57.41
"431",431,0.23,9,63.89
"432",432,0.56,9,67.56
"433",433,0.31,9,51.42
"434",434,0.17,9,50.91
"435",435,0.65,10,69.07
"436",436,0.96,10,38.62
"437",437,0.96,10,48.43
"438",438,0.54,10,42
"439",439,0.49,10,40.94
"440",440,0.85,10,61.97
"441",441,0.4,10,42.36
"442",442,0.76,10,57.13
"443",443,0.2,10,46.72
"444",444,0.5,10,45.13
"445",445,0.07,10,58.03
"446",446,0.93,10,39.42
"447",447,0.49,10,54.53
"448",448,0.61,10,38.09
"449",449,0.04,10,43.81
"450",450,0.81,10,44.62
"451",451,0.81,10,39.14
"452",452,0.64,10,43.49
"453",453,0.27,10,39.8
"454",454,0.11,10,45.08
"455",455,0.04,10,71.45
"456",456,0.58,10,41.55
"457",457,0.69,10,46.93
"458",458,0.96,10,45.38
"459",459,0.02,10,78.41
"460",460,0.89,10,45.17
"461",461,0.9,10,53.04
"462",462,0.2,10,45.61
"463",463,0.17,10,56.97
"464",464,0.07,10,56.15
"465",465,0.37,10,45.31
"466",466,0.91,10,43.9
"467",467,0.08,10,62.4
"468",468,0.53,11,41.8
"469",469,0.7,11,44.96
"470",470,0.26,11,39.42
"471",471,0.64,11,51.91
"472",472,0.77,11,56.99
"473",473,0.35,11,40.92
"474",474,0.99,11,41.65
"475",475,0.22,11,63.62
"476",476,0,11,54.04
"477",477,0.89,11,45.86
"478",478,0.94,11,56.79
