univID,stl,ips,mds,mdf,maf,lps,ips.prop,ect,tpg,mav,mcv,mpt,cle,pmx,ds1,ds2,lpt,ds3,lps.sc,ect.sc,tpg.sc,cle.sc,pmx.sc,ds1.sc,ds2.sc,lpt.sc,ds3.sc
Fos.K.13.390,54.06,3,1,9,8,4.47,1,7.16,9.12,14,19,6,7.64,2.89,0,0,2.55,1.78,4.470036472,7.160083898,9.120109459,7.640092733,2.890042303,0,0,2.550022232,1.780009401
Fos.K.13.391,67.96,2.2,1,10,9,0,0.733333333,9.61,NA,14,19,5,10.35,NA,0,0,2.01,2,0,7.739010516,NA,8.270444665,NA,0,0,1.710915454,1.81402741
Fos.K.13.393,49.63,2.2,1,8,8,0,0.733333333,6.27,5.01,14,20,5,6.9,2.67,0,0,1.61,1.75,0,6.798471315,5.442957423,7.503321812,2.954015531,0,0,1.709913075,1.815007986
Fos.K.12.205,56.84,3,0,9,8,3.24,1,7.54,7.15,NA,19,5,7.38,2.26,NA,NA,1.03,NA,3.134714145,7.19063739,6.810856145,7.02608264,2.129952876,NA,NA,0.994276474,NA
Fos.K.12.209,52.98,3,1,10,9,4.1,1,7.55,7.85,14,19,6,7.66,2.24,0,0,2.1,1.64,4.154918286,7.695656897,8.005158607,7.813133157,2.294112985,0,0,2.130069873,1.654186145
Fos.K.12.213,48.92,2,2,9,8,0,0.666666667,NA,NA,14,19,5,NA,3.07,0,3.38,2.3,1.89,0,NA,NA,NA,3.454916466,0,3.518269606,2.46764176,1.972293356
Fos.K.12.214,54.91,1,2,9,8,0,0.333333333,10.44,2.19,14,19,5,NA,3.15,0,3.86,2.58,1.82,0,10.2871215,2.157157709,NA,3.092483551,0,3.835931149,2.551837121,1.807938691
Fos.K.12.221,52.57,2.2,1,8,7,0,0.733333333,8.42,3.91,14,20,5,NA,2.43,0,0,NA,1.56,0,8.645770603,4.017422002,NA,2.511664288,0,0,NA,1.578716932
Fos.K.12.222,72.6,1,1,10,9,0,0.333333333,NA,3.66,14,19,5,NA,3.88,0,0,2.26,2.29,0,NA,2.750151157,NA,2.738115886,0,0,1.83630635,2.019364731
Fos.K.12.225,70.07,2.2,1,9,8,0,0.733333333,10.32,11.49,14,19,5,NA,4.24,0,0,2.44,2.04,0,8.073758673,8.935670928,NA,3.120299795,0,0,2.032697673,1.826333539
Fos.K.12.226,67.27,0,0,10,9,0,0,9.1,0,14,19,5,9.74,3.75,NA,NA,2.01,NA,0,7.399416779,0,7.861256633,2.895998608,NA,NA,1.723253096,NA
Fos.K.12.229,62.27,1,1,9,8,0,0.333333333,8.12,2.43,15,18,5,8.05,NA,0,0,2.17,1.6,0,7.103202907,2.118816929,7.008252077,NA,0,0,1.964400184,1.506369424
Fos.K.12.230,58.07,1,1,10,9,0,0.333333333,9.21,2.82,14,19,5,NA,3.05,0,0,1.99,1.82,0,8.60710286,2.631070067,NA,2.802657917,0,0,1.892241187,1.765300338
Fos.K.12.237,47.1,1,1,10,9,0,0.333333333,8.2,2.54,14,19,5,NA,2.62,0,0,1.48,1.78,0,9.342459504,2.903065251,NA,3.083650399,0,0,1.630832401,1.887786727
